"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"PUT/ Photos","Update Photos validations","/","0","0","4","0","0"
"POST/ Todos","Create todos validations","/","1","0","2","0","0"
"PUT/ Comments","Update comments validations","/","2","0","3","0","0"
"DELETE/ Posts","Delete posts validations","/","0","0","5","0","0"
"GET/ Todos","Get todos validations","/","1","0","5","0","0"
"POST/ Photos","Create Photos validations","/","1","0","3","0","0"
"PUT/ Todos","Update todos validations","/","1","0","5","0","0"
"DElETE/ Comments","delete comments validations","/","0","0","3","0","0"
"DELETE/ Users","Delete users validations","/","1","0","3","0","0"
"POST/ Users","Create users validations","/","0","0","3","0","0"
"POST/ Comments","create comments validations","/","0","0","5","0","0"
"GET/ Posts","Get posts validations","/","0","0","7","0","0"
"POST/ Posts","Create posts validations","/","1","1","13","0","0"
"PUT/ Posts","Update posts validations","/","1","0","5","0","0"
"GET/ Comments","get comments validations","/","0","0","12","0","0"
"DELETE/ Photos","Delete Photos validations","/","1","0","2","0","0"
"PUT/ ALBUM","Update album validations","/","2","0","1","0","0"
"GET/ Photos","Get Photos validations","/","1","0","3","0","0"
"PUT/ Users","Update users validations","/","4","0","2","0","0"
"DELETE/ Todos","Delete todos validations","/","1","0","2","0","0"
"GET/ Users","Get users validations","/","0","0","5","0","0"
"GET/ ALBUM","Get album validations","/","0","0","5","0","0"
"DELETE/ ALBUM","Delete album validations","/","0","0","2","0","0"
"POST/ ALBUM","Create album validations","/","0","0","3","0","0"
